#CH_000_2b_2,CH_001_2b_2,CH_002_2b_2,CH_003_2b_2,GAMMA_2b_2,#CH_000_2b_2
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-15.000000,-0.690000,0.000000,0.020000,-0.000253,-15.000000
10.000000,0.290000,0.500000,0.020000,0.000106,10.000000
65.000000,0.620000,1.000000,0.020000,0.000227,65.000000
135.000000,0.540000,1.500000,0.540000,0.000198,135.000000
165.000000,0.890000,2.000000,0.980000,0.000326,165.000000
225.000000,1.650000,2.500000,1.700000,0.000604,225.000000
245.000000,2.160000,3.000000,2.000000,0.000791,245.000000
270.000000,2.700000,3.500000,2.480000,0.000989,270.000000
310.000000,3.790000,4.000000,3.320000,0.001388,310.000000
325.000000,3.520000,4.500000,3.660000,0.001289,325.000000
336.000000,4.630000,5.000000,3.960000,0.001700,336.000000
411.000000,5.180000,5.500000,5.180000,0.001901,411.000000
461.000000,6.270000,6.500000,6.000000,0.002300,461.000000
521.000000,7.320000,7.500000,7.240000,0.002685,521.000000
581.000000,8.310000,8.000000,8.040000,0.003048,581.000000
656.000000,9.240000,9.000000,8.840000,0.003388,656.000000
696.000000,9.600000,9.500000,9.220000,0.003520,696.000000
721.000000,10.260000,10.000000,9.780000,0.003762,721.000000
811.000000,10.920000,10.500000,10.560000,0.004004,811.000000
976.000000,12.710000,12.500000,12.260000,0.004656,976.000000
1117.000000,14.030000,14.000000,14.060000,0.005132,1117.000000
1187.000000,15.600000,15.000000,14.940000,0.005707,1187.000000
1297.000000,17.280001,16.500000,16.600000,0.006319,1297.000000
1342.000000,17.639999,17.500000,17.400000,0.006447,1342.000000
1432.000000,19.250000,18.500000,19.100000,0.007037,1432.000000
1462.000000,21.129999,19.500000,20.340000,0.007722,1462.000000
1522.000000,22.120001,21.500000,22.360001,0.008103,1522.000000
1743.000000,26.000000,25.000000,25.879999,0.009520,1743.000000
1898.000000,29.680000,28.500000,29.559999,0.010864,1898.000000
1958.000000,31.530001,30.000000,31.360001,0.011538,1958.000000
2043.000000,35.270000,33.500000,35.000000,0.012908,2043.000000
2108.000000,38.650002,37.000000,38.580002,0.014143,2108.000000
